case_id,family,type,seed,method,config,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,pre_failure_yaw,pre_failure_h,pre_failure_up,input_identity_note,source_run_dir,output_sha256,audit_status_R1,audit_status_R2,observer_discrepancy_R2
D14_seed_00,位置噪声,D14,seed_00,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_00__seed_00,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_00,位置噪声,D14,seed_00,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_00__seed_00,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_01,位置噪声,D14,seed_01,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_01__seed_01,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_01,位置噪声,D14,seed_01,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_01__seed_01,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_02,位置噪声,D14,seed_02,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_02__seed_02,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_02,位置噪声,D14,seed_02,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_02__seed_02,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_03,位置噪声,D14,seed_03,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_03__seed_03,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_03,位置噪声,D14,seed_03,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_03__seed_03,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_04,位置噪声,D14,seed_04,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_04__seed_04,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_04,位置噪声,D14,seed_04,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_04__seed_04,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_05,位置噪声,D14,seed_05,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_05__seed_05,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_05,位置噪声,D14,seed_05,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_05__seed_05,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_06,位置噪声,D14,seed_06,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_06__seed_06,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_06,位置噪声,D14,seed_06,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_06__seed_06,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_07,位置噪声,D14,seed_07,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_07__seed_07,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_07,位置噪声,D14,seed_07,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_07__seed_07,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_08,位置噪声,D14,seed_08,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D14_seed_08__seed_08,,NOT_EVALUATED,NOT_EVALUATED,
D14_seed_08,位置噪声,D14,seed_08,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D14_seed_08__seed_08,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_00,位置噪声,D21,seed_00,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_00__seed_00,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_00,位置噪声,D21,seed_00,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D21_seed_00__seed_00,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_01,位置噪声,D21,seed_01,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,30.768427333058714,1.0766932203463924,6.394868060744083,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__LC01__LIT__D21_seed_01__seed_01/v3_R2,8d858c97857492ab8246c575fc136d820f8e5507c97656efb7ef322f5fd58f97,PASS,PASS,"{""horizontal_max_m"":5.6129604483960686e-15,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":2.842170943040401e-14}"
D21_seed_01,位置噪声,D21,seed_01,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,47.20696001910252,3.3281157108157013,5.377510251325009,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__EXT05C__LIT__D21_seed_01__seed_01/v3_R2,5440196bb19bb63395024ac8f6e9743b2e09cfdc057e5c49f6e6533ad7a08f58,FAIL,PASS,"{""horizontal_max_m"":5.4025784115714076e-15,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":2.842170943040401e-14}"
D21_seed_02,位置噪声,D21,seed_02,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_02__seed_02,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_02,位置噪声,D21,seed_02,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,85.07571476309903,21.072747202373037,28.829316097347114,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__EXT05C__LIT__D21_seed_02__seed_02/v3_R2,f6730a9b67cb5c06373a2eb0bf9f3f286338c25b42f3447c9c1738c00de77c5a,FAIL,PASS,"{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":0.0}"
D21_seed_03,位置噪声,D21,seed_03,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_03__seed_03,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_03,位置噪声,D21,seed_03,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D21_seed_03__seed_03,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_04,位置噪声,D21,seed_04,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,20.24766814894147,1.4354360995388509,4.884675042349105,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__LC01__LIT__D21_seed_04__seed_04/v3_R2,3b0010453fd24090751e191b0891c30b39227890272c22344a84e56eb0db9993,FAIL,PASS,"{""horizontal_max_m"":7.944109290391274e-15,""up_max_m"":7.105427357601002e-15,""yaw_max_deg"":3.979039320256561e-13}"
D21_seed_04,位置噪声,D21,seed_04,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,56.677645207359866,8.52098749064764,12.282833665139881,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__EXT05C__LIT__D21_seed_04__seed_04/v3_R2,9b72998cd9e4a38d3838720a6d2f51245ffd15ba561a9de848fbbc2a82b858a2,FAIL,PASS,"{""horizontal_max_m"":7.944109290391274e-15,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":0.0}"
D21_seed_05,位置噪声,D21,seed_05,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_05__seed_05,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_05,位置噪声,D21,seed_05,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D21_seed_05__seed_05,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_06,位置噪声,D21,seed_06,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,9.628908440045482,1.1226146382696733,2.0570110546385103,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__LC01__LIT__D21_seed_06__seed_06/v3_R2,ef9aacdbd59fcb3803f0b1896c9590ef881c4be9501c9a7757c009db0643f77b,FAIL,PASS,"{""horizontal_max_m"":1.6881232242081456e-14,""up_max_m"":7.105427357601002e-15,""yaw_max_deg"":3.979039320256561e-13}"
D21_seed_06,位置噪声,D21,seed_06,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,55.34825159591103,2.4563863622445936,3.2065747723235027,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__EXT05C__LIT__D21_seed_06__seed_06/v3_R2,7c6e99d774f7b773a549b65cda5214601147484d10ab1c34bf0dcae5c8803c85,FAIL,PASS,"{""horizontal_max_m"":5.329070518200751e-15,""up_max_m"":7.105427357601002e-15,""yaw_max_deg"":2.842170943040401e-14}"
D21_seed_07,位置噪声,D21,seed_07,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_07__seed_07,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_07,位置噪声,D21,seed_07,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__EXT05C__LIT__D21_seed_07__seed_07,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_08,位置噪声,D21,seed_08,LC01,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,,,,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03/RUNS/BY2__LC01__LIT__D21_seed_08__seed_08,,NOT_EVALUATED,NOT_EVALUATED,
D21_seed_08,位置噪声,D21,seed_08,EXT05C,LIT,,,,,ALGORITHM_FAILURE_DIVERGED,24.46250607009181,2.588313152108269,6.293547804228405,；失败前截断指标标 PRE_FAILURE，不并入有限样本分布,$HX03R2/RUNS/BY2__EXT05C__LIT__D21_seed_08__seed_08/v3_R2,e37809d703b889bed065888fa0050ab92512bb6cffa2d1b32e7f8c4e0743445d,FAIL,PASS,"{""horizontal_max_m"":6.4047456679787536e-15,""up_max_m"":7.105427357601002e-15,""yaw_max_deg"":0.0}"
D16_seed_00,位置偏差,D16,seed_00,LC01,LIT,2.994826737175135,1.495484399481311,0.4662591021778794,4.9681485662973985,NONE,,,,,$HX03R2/RUNS/BY2__LC01__LIT__D16_seed_00__seed_00/v3_R2,bae77e30f8685c2cc1cc69b485e3ff54663f8eedc33c24709ab2690b7fa48ef4,PASS,PASS,"{""horizontal_max_m"":2.8149791816184117e-14,""up_max_m"":1.2545520178264269e-14,""yaw_max_deg"":4.092726157978177e-12}"
D16_seed_00,位置偏差,D16,seed_00,EXT05C,LIT,12.048717822255133,1.4977387677501015,0.46565717395913914,16.868992255077075,NONE,,,,,$HX03R2/RUNS/BY2__EXT05C__LIT__D16_seed_00__seed_00/v3_R2,5d0d7d18d1599b0e9173d1c580bd90c06ec560d2e5cd3752b2603d2d82a58c54,PASS,PASS,"{""horizontal_max_m"":2.919886554764162e-14,""up_max_m"":1.3378187446733136e-14,""yaw_max_deg"":4.092726157978177e-12}"
